year                                , 1959   , 1954   , 1950   , 1945   , 1940   , 1935   , 1930   , 1925   , 1920   , 1910   , 1900   , 1890   , 1880
operators_all                       , 3707973, 4783021, 5388437, 5859169, 6102417, 6812350, 6295103, 6371640, 6453991, 6365822, 5739657, 4564641, 4008907
operators_full                      , 2116594, 2744708, 3091666, 3301361, 3085491, 3210224, 2913052, 3313490, 3368146, 3355731, 3202643,        , 
operators_part                      , 834470 , 868180 , 825670 , 660502 , 615502 , 688867 , 657109 , 554842 , 558708 , 593954 , 451515 ,        , 
operators_managers                  , 21060  , 20894  , 23646  , 38885  , 36501  , 48104  , 56131  , 40700  , 68583  , 58353  , 59213  ,        , 
operators_tenants_all               , 735849 , 1149299, 1447455, 1858421, 2364923, 2865155, 2668811, 2462608, 2458554, 2357784, 2026286, 1294913, 1024601
operators_tenants_cash              , 107217 , 160231 , 215392 , 402175 , 514438 , NA     , 489210 , 393452 , 483577 , 715188 , 752920 , 454659 , 322357
operators_tenants_sharecrop         , 121037 , 267662 , 345765 , 446556 , 541291 , 716256 , 776278 , 623058 , 561091 ,        ,        ,        , 
operators_white_all                 , 3423362, 4301420, 4802520, 5169954, 5378913, 5956795, 5373703, NA     , 5499707, 5441372, 4970129, NA     , NA
operators_white_full                , 2016808, 2604730, 2936960, 3126212, 2917255, 3036910, 2753187, NA     , 3174675, 3159560, 3026214,        , 
operators_white_part                , 792422 , 814112 , 769751 , 629734 , 581678 , 650787 , 612687 , NA     , 517820 , 548457 , 420926 , NA     , NA
operators_white_managers            , 20457  , 20236  , 23140  , 38263  , 35750  , 46914  , 52890  , NA     , 66317  , 56679  , 57353  ,        , 
operators_white_tenants_all         , 592417 , 862342 , 1072669, 1375745, 1844230, 2222184, 1954247, NA     , 1740534, 1676676, 1465646, NA     , NA
operators_white_tenants_cash        , 89456  , 130737 , 171489 , 326787 , 444205 , NA     , 387834 , NA     , 374001 , 447954 , 477100 , NA     , NA
operators_white_tenants_sharecrop   , 47650  , 107416 , 148708 , 176260 , 242173 , 347848 , 383381 , 278736 , 227378 ,        ,        ,        , 
operators_nonwhite_all              , 284612 , 481601 , 585917 , 689215 , 723504 , 855555 , 921400 , NA     , 954284 , 924450 , 769528 , NA     , NA
operators_nonwhite_full             , 97388  , 139978 , 154706 , 175149 , 168236 , 173314 , 159894 , NA     , 193126 , 196171 , 176429 ,        , 
operators_nonwhite_part             , 40733  , 54068  , 55919  , 30768  , 33824  , 38080  , 43863  , NA     , 40888  , 45497  , 30599  , NA     , NA
operators_nonwhite_managers         , 489    , 658    , 506    , 622    , 751    , 1190   , 3202   , NA     , 2258   , 1674   , 1860   ,        , 
operators_nonwhite_tenants_all      , 141017 , 286897 , 374786 , 482676 , 520693 , 642971 , 714433 , NA     , 718009 , 681108 , 560640 , NA     , NA
operators_nonwhite_tenants_cash     , 15738  , 29394  , 43903  , 75388  , 70233  , NA     , 101376 , NA     , 109576 , 267234 , 275820 , NA     , NA
operators_nonwhite_tenants_sharecrop, 73387  , 160246 , 198057 , 270296 , 299118 , 368408 , 392897 , 344322 , 333713 ,        ,        ,        , 